,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
737,CU,2024-07-01,81.8,2.0,5.88,"Gore, MacKenzie",596019,669022,single,hit_into_play,3,Francisco Lindor singles on a line drive to right fielder Lane Thomas.,R,R,L,WSH,NYM,X,9,line_drive,2,2,2024,-0.24,-1.12,0.62,2.82,,,,0,1,Top,161.74,97.23,-2.6751828405881537,-119.15680703938634,1.8097805396212143,-1.840449338271384,21.41266930838002,-43.42513973399888,3.31,1.51,222,96.8,12,83.0,2479,6.9,744840,660688,608841,545121,669222,682928,695578,696285,657041,53.62,0.943,0.906,0.9,1,1,0,4,1,5,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,338,-0.036,0.476,65.8,6.9,1.113,-0.476,96.8,0,0,0.5,0.5,25,30,25,31,1,0,6,1,5,1,4.5,-0.24,0.24,50.6,9.89321776813994,16.285376913375288,25.75433892310861,40.57418315908488,24.0486361058454
777,FC,2024-07-01,92.0,2.17,5.95,"Gore, MacKenzie",596019,669022,,ball,13,Ball,R,R,L,WSH,NYM,B,,,1,2,2024,-0.01,0.93,-0.15,-0.09,,,,0,1,Top,,,-5.892445965673185,-133.57891310716954,-11.686788111644868,0.8844227946268551,24.004850439986907,-18.909528163230025,3.44,1.57,,,,93.5,2052,6.9,744840,660688,608841,545121,669222,682928,695578,696285,657041,53.58,,,,,,,,1,4,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,146,0.0,0.04,,,,-0.04,,0,0,0.5,0.5,25,30,25,31,1,0,6,1,5,1,1.74,-0.01,0.01,44.8,,,,,
812,FC,2024-07-01,91.0,2.31,5.93,"Gore, MacKenzie",596019,669022,,foul,6,Foul,R,R,L,WSH,NYM,S,,,1,1,2024,-0.12,0.73,0.67,2.68,,,,0,1,Top,,,-3.889155740882286,-132.51945566541642,-3.899360605842893,-0.6166454318766574,26.251978263943336,-22.99899665442556,3.31,1.51,,,,92.3,2044,6.9,744840,660688,608841,545121,669222,682928,695578,696285,657041,53.64,,,,,,,,1,3,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,151,0.0,-0.056,72.6,7.6,,0.056,,0,0,0.5,0.5,25,30,25,31,1,0,6,1,5,1,2.01,-0.12,0.12,42.9,11.772700964411843,5.976818487034865,26.094176340471183,41.59584810459515,29.280567794857703
840,FF,2024-07-01,94.9,2.38,5.82,"Gore, MacKenzie",596019,669022,,foul,1,Foul,R,R,L,WSH,NYM,S,,,1,0,2024,0.52,1.54,-0.68,3.06,,,,0,1,Top,,,-9.278301517312984,-137.87515725545913,-5.0695421361020285,8.676315477015757,29.81002078258947,-11.576007556590074,3.31,1.51,323,92.0,28,96.1,2309,7.0,744840,660688,608841,545121,669222,682928,695578,696285,657041,53.47,,,,,,,,1,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,152,0.0,-0.049,72.9,7.6,,0.049,92.0,0,0,0.5,0.5,25,30,25,31,1,0,6,1,5,1,1.0,0.52,-0.52,43.9,16.37847414980964,-15.484764675414254,29.08268749579396,25.190074796912803,33.80237788910303
867,FF,2024-07-01,95.5,2.45,5.83,"Gore, MacKenzie",596019,669022,,ball,14,Ball,R,R,L,WSH,NYM,B,,,0,0,2024,0.82,1.67,1.29,2.3,,,,0,1,Top,,,-4.959309647248926,-138.91577546630097,-7.508257650981434,11.678275312427887,30.624495161280816,-9.025719821049114,3.41,1.55,,,,96.5,2409,6.8,744840,660688,608841,545121,669222,682928,695578,696285,657041,53.68,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,151,0.0,0.038,,,,-0.038,,0,0,0.5,0.5,25,30,25,31,1,0,6,1,5,1,0.83,0.82,-0.82,38.2,,,,,
