,game_date,release_speed,release_pos_x,release_pos_z,batter,pitcher,zone,hit_location,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hc_x,hc_y,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
count,5285,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,1191.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,392.0,925.0,1380.0,5285.0,5285.0,942.0,942.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,1774.0,1772.0,1774.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,941.0,1347.0,1355.0,1353.0,1355.0,1355.0,941.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,2419.0,2419.0,941.0,5285.0,1783.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5285.0,5275.0,5240.0,5285.0,5273.0,5285.0,5285.0,5285.0,5285.0,2419.0,2419.0,2419.0,2417.0,2417.0
mean,2024-07-01 20:00:29.971618048,89.67316934720908,-1.0018259224219488,5.7939356669820254,644695.2898770104,648963.51769158,8.946830652790918,5.0764063811922755,0.8999053926206244,0.8944181646168401,2024.0,-0.06567265846736046,0.5760435193945127,0.042508987701040675,2.313789971617786,651428.1530612245,650970.7935135135,643055.15,0.9784295175023652,5.055818353831599,125.32272823779223,123.32247346072197,2.7859348717853276,-130.44934622015757,-3.8610055471810303,-1.8466812350722774,26.68879051787539,-24.179863180726247,3.4215610217596972,1.596669820245979,157.456595264938,82.53617381489825,17.60597519729425,90.17411542100284,2292.7693472090823,6.538145695364239,745826.9298013245,638550.8516556291,635982.0633869442,641870.6300851466,639072.1525070956,656172.1918637654,654830.7237464522,670314.1373699148,644125.6893093662,53.96139451277199,0.31377470775770416,0.3109095790645878,0.31948339483394717,0.9963045084996305,0.1793357933579336,0.16457564575645756,3.192348565356004,38.02213812677389,2.948344370860927,1.9551561021759698,2.119583727530747,2.032355723746452,2.0423841059602648,2.1371807000946075,1.9701040681173132,2.0649006622516555,2.0423841059602648,172.65184484389783,-0.00034891201513718073,0.0005036896877956485,69.46411740388596,7.192145514675485,0.5356248671625925,-0.0005036896877956485,91.67560291643295,-0.16442762535477767,-0.010028382213812678,0.49164181646168403,0.5139366130558183,28.159697256385996,27.847492904446547,28.62876064333018,28.429328287606435,1.4346263008514664,1.5356669820245978,5.797345971563981,2.490648854961832,5.047871333964049,1.2448321638535937,2.291228003784295,0.2625052034058657,-0.09268495742667929,38.96211920529801,8.660044001176681,-0.4686608831936608,32.06911370341659,37.29508086480308,29.278467090894754
min,2024-07-01 00:00:00,69.9,-4.07,1.12,453568.0,445926.0,1.0,1.0,0.0,0.0,2024.0,-1.8,-1.51,-3.49,-7.65,518934.0,467793.0,453568.0,0.0,1.0,8.61,17.81,-17.125272930545467,-148.14433915473492,-23.653902244441223,-23.841539758210708,16.378757576705112,-46.93901480292568,2.76,1.12,0.0,15.5,-87.0,69.6,63.0,4.5,744838.0,455117.0,456781.0,514888.0,456781.0,500743.0,444482.0,595281.0,518792.0,52.37,0.001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-0.39,-0.457,4.5,1.0,0.001,-2.67,88.0,-6.0,-7.0,0.001,0.001,22.0,20.0,22.0,20.0,1.0,0.0,1.0,1.0,1.0,1.0,0.48,-2.21,-1.94,-67.0,-85.7167413886486,-179.1290069734997,6.578737971433034,12.86039347178922,-8.87943982951326
25%,2024-07-02 00:00:00,85.1,-2.16,5.53,622761.0,640448.0,5.0,2.0,0.0,0.0,2024.0,-0.77,0.13,-0.54,1.68,623669.5,642086.0,622534.0,0.0,3.0,101.8675,88.4525,0.4882643351513197,-137.8380960888068,-5.904048081036045,-10.670766691870671,23.734341846195505,-30.39602303493054,3.29,1.52,21.0,73.2,-4.0,85.5,2125.0,6.3,744999.0,607732.0,608841.0,622761.0,621028.0,642715.0,641933.0,664056.0,621438.0,53.68,0.066,0.003,0.0,1.0,0.0,0.0,2.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,-0.061,67.05,6.6,0.082,-0.039,88.0,-1.0,-1.0,0.3,0.324,26.0,25.0,26.0,26.0,1.0,0.0,3.0,1.0,3.0,1.0,1.38,-0.32,-0.77,32.4,1.2711985997625148,-12.603746339602631,27.459354920491826,32.08539241364044,21.343259629567022
50%,2024-07-02 00:00:00,90.3,-1.62,5.86,664040.0,664079.0,9.0,5.0,1.0,1.0,2024.0,-0.1,0.62,0.03,2.33,668930.0,665926.0,664034.0,1.0,5.0,124.45,128.76999999999998,4.226084259249827,-131.42034832191345,-3.968021409372217,-1.2672697370038482,26.500419072484643,-24.47666507041285,3.41,1.59,170.0,82.1,20.0,90.8,2313.0,6.5,745886.0,663743.0,656555.0,663898.0,663586.0,669701.0,666134.0,671289.0,660821.0,53.96,0.231,0.161,0.0,1.0,0.0,0.0,3.0,38.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,198.0,0.0,-0.037,70.7,7.2,0.295,0.037,88.0,0.0,0.0,0.523,0.511,28.0,27.0,28.0,28.0,1.0,1.0,6.0,2.0,5.0,1.0,2.2,0.39,-0.17,40.1,8.974700648283422,0.2917306466843553,31.967040977220066,37.52158807172195,28.799633813382652
75%,2024-07-02 00:00:00,94.8,-0.51,6.14,672820.0,676395.0,13.0,8.0,2.0,2.0,2024.0,0.56,1.17,0.61,2.97,680718.0,680700.0,672275.0,2.0,7.0,152.38,157.7575,6.622123264112406,-123.81701706219516,-1.9050788166722128,5.87200430813463,29.672816339049355,-16.479957184305096,3.55,1.68,244.0,94.2,41.0,95.3,2496.0,6.8,746535.0,669257.0,669911.0,671277.0,670623.0,678882.0,670541.0,680776.0,672761.0,54.23,0.5,0.526,0.7,1.0,0.0,0.0,4.0,57.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,220.0,0.0,0.039,74.0,7.9,0.683,0.061,94.2,1.0,1.0,0.677,0.702,30.0,30.0,30.0,31.0,2.0,3.0,6.0,2.0,5.0,1.0,2.97,0.94,0.56,47.2,16.46464732634835,12.883512824630394,36.84571791915175,42.28861338498539,36.74496555065831
max,2024-07-02 00:00:00,101.9,4.44,7.12,807799.0,806185.0,14.0,9.0,3.0,2.0,2024.0,2.21,2.09,4.63,5.82,696285.0,807799.0,807799.0,2.0,10.0,230.6,221.09,18.290260413531094,-101.7885012693166,13.77250830725472,23.686151147400267,39.73695153817904,-4.818989424879583,4.1,1.98,448.0,114.1,89.0,102.8,3140.0,8.1,747102.0,686676.0,700250.0,693304.0,695391.0,691026.0,695578.0,701538.0,696100.0,56.04,0.994,2.009,2.0,1.0,1.0,3.0,6.0,89.0,12.0,7.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,360.0,0.466,2.67,87.0,9.7,3.895,0.457,114.1,7.0,7.0,0.999,0.999,40.0,39.0,41.0,40.0,4.0,4.0,79.0,93.0,74.0,24.0,6.15,1.83,2.21,76.9,54.15917571062889,163.23713774521798,62.7700069822633,63.80577227453379,71.84538316679293
std,,5.842397627072513,1.7856291117489451,0.5772425148213312,49518.22906821885,51240.95881288241,4.266173735879431,2.6517866213433674,0.9874352528813788,0.825993006389355,0.0,0.8469932943922792,0.690559484467424,0.8409598453842212,0.9826386739799903,41969.24089596049,46806.25241392779,54222.10121728646,0.8152061833111416,2.649058707090997,40.72111267539533,43.264455385762176,5.58668657400651,8.461365959764821,3.072721245553064,10.340174782738355,3.9514965307260828,8.651537108787254,0.19880701233834353,0.11882880773672666,122.06981201800605,15.267607070796885,33.06035070697179,5.972056729483173,334.99894805732896,0.4323872232039699,730.6886129939521,50214.69090764157,54309.742583328494,47259.00023179043,52106.622308507154,38012.748630392976,31388.298267391958,19412.21773783682,44451.55502760323,0.43191426064292016,0.283895902104913,0.3836767677009377,0.5289762124756924,0.060700560899909904,0.3837748853684938,0.6078630699541815,1.3217432515635508,22.671327729741932,1.7886479661440546,2.19068169699359,2.310592691324179,2.199092578810988,2.3055123506808046,2.317426657300416,2.1967595553565804,2.212360290086265,2.3055123506808046,72.18363509371822,0.030940954385081085,0.2354830376274036,8.13388142545013,0.9814218776314517,0.709738013229895,0.2354830376274036,6.032944009931875,2.4247225425439347,2.430271668246257,0.2709360687006583,0.27070640892759906,3.586954228178991,3.6567598184189394,3.6098954646041705,3.682694099168557,0.675440163624751,1.2586210487431098,7.041353051475658,6.153497846747969,6.001780087828497,1.236836736654551,1.0187969120694693,0.8079537933291597,0.844463870123302,14.11931995932243,12.085412896905435,20.378563301099398,7.103627487034343,7.29070713678886,11.663036918314761
